IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
65.75.194.109,20443,true,SJC,North America,San Jose,188 ms,6912 kB/s
65.75.193.21,37813,true,SJC,North America,San Jose,180 ms,6386 kB/s
65.75.193.187,34237,true,SJC,North America,San Jose,178 ms,6337 kB/s
136.175.176.49,20443,true,SJC,North America,San Jose,197 ms,6303 kB/s
65.75.195.188,50795,true,SJC,North America,San Jose,187 ms,12 kB/s
20.83.149.174,443,true,IAD,North America,Ashburn,286 ms,4899 kB/s
20.62.202.159,443,true,IAD,North America,Ashburn,282 ms,2671 kB/s
172.190.150.25,8443,true,IAD,North America,Ashburn,282 ms,2591 kB/s
20.170.41.153,443,true,FRA,Europe,Frankfurt,285 ms,2521 kB/s
20.240.254.247,8443,true,ARN,Europe,Stockholm,319 ms,2476 kB/s
51.120.240.115,2087,true,CPH,Europe,Copenhagen,324 ms,2295 kB/s
20.108.51.255,443,true,LHR,Europe,London,295 ms,1908 kB/s
51.120.240.115,8080,true,CPH,Europe,Copenhagen,305 ms,1532 kB/s
52.137.60.154,443,true,AMS,Europe,Amsterdam,286 ms,294 kB/s
8.217.164.10,2096,true,HKG,Asia Pacific,Hong Kong,64 ms,21991 kB/s
8.217.85.14,2083,true,HKG,Asia Pacific,Hong Kong,65 ms,18208 kB/s
8.218.53.110,2087,true,HKG,Asia Pacific,Hong Kong,61 ms,16866 kB/s
47.76.146.1,2087,true,HKG,Asia Pacific,Hong Kong,61 ms,15961 kB/s
47.242.234.127,2096,true,HKG,Asia Pacific,Hong Kong,55 ms,15805 kB/s
47.76.77.103,8443,true,HKG,Asia Pacific,Hong Kong,63 ms,15531 kB/s
47.242.155.183,2053,true,HKG,Asia Pacific,Hong Kong,72 ms,15365 kB/s
47.242.252.237,2083,true,HKG,Asia Pacific,Hong Kong,64 ms,15158 kB/s
47.76.32.108,2083,true,HKG,Asia Pacific,Hong Kong,62 ms,14997 kB/s
8.218.53.110,2096,true,HKG,Asia Pacific,Hong Kong,63 ms,14923 kB/s
8.218.122.55,2053,true,HKG,Asia Pacific,Hong Kong,67 ms,14418 kB/s
8.210.100.23,8443,true,HKG,Asia Pacific,Hong Kong,56 ms,14417 kB/s
8.210.207.214,2087,true,HKG,Asia Pacific,Hong Kong,57 ms,14226 kB/s
8.210.34.188,2053,true,HKG,Asia Pacific,Hong Kong,66 ms,14081 kB/s
47.243.107.148,2087,true,HKG,Asia Pacific,Hong Kong,60 ms,13638 kB/s
8.218.3.12,2053,true,HKG,Asia Pacific,Hong Kong,60 ms,12615 kB/s
47.76.159.146,2083,true,HKG,Asia Pacific,Hong Kong,60 ms,12349 kB/s
47.243.91.58,2083,true,HKG,Asia Pacific,Hong Kong,64 ms,12270 kB/s
47.76.49.246,2083,true,HKG,Asia Pacific,Hong Kong,65 ms,12031 kB/s
47.243.91.58,2087,true,HKG,Asia Pacific,Hong Kong,60 ms,11843 kB/s
8.210.100.23,2096,true,HKG,Asia Pacific,Hong Kong,64 ms,11675 kB/s
47.242.79.71,2087,true,HKG,Asia Pacific,Hong Kong,60 ms,11439 kB/s
47.76.159.146,8443,true,HKG,Asia Pacific,Hong Kong,59 ms,11370 kB/s
47.76.159.146,2087,true,HKG,Asia Pacific,Hong Kong,64 ms,11349 kB/s
47.76.178.146,2087,true,HKG,Asia Pacific,Hong Kong,64 ms,11061 kB/s
47.242.232.14,2053,true,HKG,Asia Pacific,Hong Kong,65 ms,11024 kB/s
8.218.142.253,2083,true,HKG,Asia Pacific,Hong Kong,59 ms,10818 kB/s
47.243.183.127,2087,true,HKG,Asia Pacific,Hong Kong,62 ms,10699 kB/s
47.242.79.71,2053,true,HKG,Asia Pacific,Hong Kong,56 ms,10643 kB/s
8.210.3.24,2053,true,HKG,Asia Pacific,Hong Kong,67 ms,10461 kB/s
8.210.175.109,2083,true,HKG,Asia Pacific,Hong Kong,61 ms,10452 kB/s
47.242.252.237,2087,true,HKG,Asia Pacific,Hong Kong,59 ms,10452 kB/s
47.243.5.154,2083,true,HKG,Asia Pacific,Hong Kong,58 ms,10371 kB/s
47.243.173.187,8443,true,HKG,Asia Pacific,Hong Kong,69 ms,10346 kB/s
47.242.17.250,2053,true,HKG,Asia Pacific,Hong Kong,60 ms,10290 kB/s
8.210.174.156,8443,true,HKG,Asia Pacific,Hong Kong,59 ms,10277 kB/s
8.217.164.10,2087,true,HKG,Asia Pacific,Hong Kong,69 ms,10264 kB/s
47.243.173.187,2053,true,HKG,Asia Pacific,Hong Kong,63 ms,10258 kB/s
47.243.183.127,2083,true,HKG,Asia Pacific,Hong Kong,61 ms,10013 kB/s
47.243.206.150,2083,true,HKG,Asia Pacific,Hong Kong,66 ms,9986 kB/s
47.76.94.15,2096,true,HKG,Asia Pacific,Hong Kong,58 ms,9846 kB/s
47.243.74.220,2053,true,HKG,Asia Pacific,Hong Kong,65 ms,9759 kB/s
8.210.39.96,2053,true,HKG,Asia Pacific,Hong Kong,56 ms,9465 kB/s
8.222.214.231,8443,true,SIN,Asia Pacific,Singapore,376 ms,9431 kB/s
47.243.173.187,2087,true,HKG,Asia Pacific,Hong Kong,68 ms,9418 kB/s
8.210.39.96,2083,true,HKG,Asia Pacific,Hong Kong,69 ms,9265 kB/s
8.210.245.224,2083,true,HKG,Asia Pacific,Hong Kong,64 ms,9223 kB/s
8.217.164.10,8443,true,HKG,Asia Pacific,Hong Kong,61 ms,9115 kB/s
8.218.142.253,2087,true,HKG,Asia Pacific,Hong Kong,60 ms,9032 kB/s
8.210.175.109,8443,true,HKG,Asia Pacific,Hong Kong,61 ms,8824 kB/s
47.243.107.148,8443,true,HKG,Asia Pacific,Hong Kong,65 ms,8805 kB/s
47.243.169.63,2096,true,HKG,Asia Pacific,Hong Kong,63 ms,8690 kB/s
8.217.121.207,2087,true,HKG,Asia Pacific,Hong Kong,57 ms,8559 kB/s
